From	To
Q8N668	COMMD1
Q86X83	COMMD2
P78560	CRADD
Q9UBI1	COMMD3
Q9GZQ3	COMMD5
P0DML3	CSH2
O95727	CRTAM
Q9Y6G5	COMMD10
Q14406	CSHL1
O75718	CRTAP
Q6FI81	CIAPIN1
Q8NEV1	CSNK2A3
Q6ZS62	COLCA1
A8K830	COLCA2
P02511	CRYAB
O94886	TMEM63A
Q16630	CPSF6
Q6ZST2	COL25A1-DT
Q9BV73	CEP250
Q13825	AUH
Q6UY14	ADAMTSL4
Q9BSB4	ATG101
Q13323	BIK
P27037	ACVR2A
Q9NQS1	AVEN
Q8N6G6	ADAMTSL1
B2RXH4	BTBD18
Q9BX70	BTBD2
Q13515	BFSP2
P30043	BLVRB
P55201	BRPF1
Q96DR5	BPIFA2
Q6QNY1	BLOC1S2
Q7Z5W3	BCDIN3D
O94766	B3GAT3
Q5TBC7	BCL2L15
Q8N4F0	BPIFB2
Q9UL45	BLOC1S6
Q13829	TNFAIP1
Q8NCR0	B3GALNT2
Q9BPU9	B9D2
P22362	CCL1
O15444	CCL25
Q8NCB2	CAMKV
P13501	CCL5
Q9NRJ3	CCL28
Q8N4S0	CCDC82
Q6ZRV3	LINC00696
Q96CT7	CCDC124
Q9BR77	CCDC77
Q8WXS4	TMEM37
Q96M83	CCDC7
Q8NCX0	CCDC150
P0DO97	CCDC192
P05937	CALB1
P01258	CALCA
Q9NRR8	CDC42SE1
Q9P2K1	CC2D2A
Q4G0S4	CYP27C1
Q16790	CA9
P12830	CDH1
P29965	CD40LG
Q9Y6F8	CDY1
Q9Y6F8	CDY1B
Q5VT06	CEP350
Q8N960	CEP120
Q99440	LINC01587
B2RV13	CFAP97D1
Q53FE4	C4orf17
P86791	CCZ1
Q96H22	CENPN
P0CG37	CFC1
Q8N6W0	CELF5
P55273	CDKN2D
P11836	MS4A1
Q9P2E5	CHPF2
Q9UK58	CCNL1
A0A0U1RR11	CENPVL1
Q4W4Y0	C14orf28
A6NJI1	C11orf86
Q96JB5	CDK5RAP3
P60953	CDC42
P53675	CLTCL1
A8K5M9	C15orf62
Q496F6	CD300E
Q9BRF8	CPPED1
Q8TCD1	C18orf32
Q32NC0	C18orf21
P20853	CYP2A7
Q6UXH1	CRELD2
P53621	COPA
Q13541	EIF4EBP1
Q9Y615	ACTL7A
P02708	CHRNA1
P50406	HTR6
Q9Y614	ACTL7B
Q7Z5R6	APBB1IP
Q9ULX6	AKAP8L
Q96NN9	AIFM3
O95076	ALX3
Q9P2G1	ANKIB1
Q15699	ALX1
Q15847	ADIRF
P35612	ADD2
Q9H568	ACTL8
Q8NFM4	ADCY4
Q7Z695	ADCK2
Q8WTP8	AEN
Q9BYD9	ACTRT3
O14617	AP3D1
Q8NB46	ANKRD52
Q92688	ANP32B
Q15041	ARL6IP1
Q86VW2	ARHGEF25
P04424	ASL
Q8N8V4	ANKS4B
Q9UJ72	ANXA10
Q5VTE6	ANGEL2
P58335	ANTXR2
Q86XL3	ANKLE2
P18440	NAT1
Q8WXK1	ASB15
P24539	ATP5PB
Q5U4P2	ASPHD1
Q8NBU5	ATAD1
P0C843	LINC00032
P49407	ARRB1
Q5W041	ARMC3
Q7Z3E5	ARMC9
P54793	ARSF
Q9P291	ARMCX1
Q6PJW8	CNST
Q8N5M1	ATPAF2
Q8WWM7	ATXN2L
O15265	ATXN7
Q6UVW9	CLEC2A
A6NMY6	ANXA2P2
O15169	AXIN1
O75596	CLEC3A
Q9UMR7	CLEC4A
Q9UQB9	AURKC
Q9BZE3	BARHL1
Q9Y2F9	BTBD3
Q9UIR0	BTNL2
P46736	BRCC3
Q9HCU9	BRMS1
Q5VTR2	RNF20
O95415	BRI3
Q96P09	BIRC8
Q9GZN4	PRSS22
Q9Y6D6	ARFGEF1
P46379	BAG6
Q86Y27	BAGE5
Q2NKX9	C2orf68
Q8IYE1	CCDC13
Q8N535	LINC00471
Q9NV96	TMEM30A
Q8N998	CCDC89
Q8N9Z2	CCDC71L
Q9UI42	CPA4
P20160	AZU1
Q5BLP8	C4orf48
Q9UNE7	STUB1
Q8TCT0	CERK
P48509	CD151
A6NKQ9	CGB1
P40199	CEACAM6
Q9UNI1	CELA1
P09093	CELA3A
Q9BW66	CINP
Q9NQ89	C12orf4
Q8IYJ2	C10orf67
Q53SF7	COBLL1
Q8WW14	C10orf82
Q9HAW4	CLSPN
A0A1B0GTH6	CSNKA2IP
O43186	CRX
O14678	ABCD4
Q9Y3L3	SH3BP1
Q5T5F5	ADAMTSL4-AS1
Q13542	EIF4EBP2
O43741	PRKAB2
P30542	ADORA1
Q8IY45	AMN1
P30038	ALDH4A1
P0CW23	AKAIN1
Q09666	AHNAK
Q6QNK2	ADGRD1
O60488	ACSL4
Q5VW22	AGAP6
Q8IZF6	ADGRG4
O95490	ADGRL2
O75689	ADAP1
Q96IT6	ARHGAP5-AS1
Q53RE8	ANKRD39
Q5CZ79	ANKRD20A8P
O43315	AQP9
Q92754	TFAP2C
Q15052	ARHGEF6
P51693	APLP1
Q7Z6G8	ANKS1B
P41181	AQP2
P30533	LRPAP1
P06727	APOA4
P50995	ANXA11
P15144	ANPEP
Q9GZV1	ANKRD2
Q3SXR2	C3orf36
Q9BWC9	CCDC106
Q9Y6R9	CCDC61
Q8IYE0	CCDC146
Q5T7R7	C1orf185
Q8IZS8	CACNA2D3
Q86UW7	CADPS2
Q5SR53	PIK3CD-AS1
Q6UB35	MTHFD1L
Q01668	CACNA1D
P00736	C1R
P14384	CPM
Q8N6N3	C1orf52
Q5VU97	CACHD1
O14569	CYB561D2
P55286	CDH8
Q96EU7	C1GALT1C1
P33681	CD80
Q5TB80	CEP162
P86790	CCZ1B
P06127	CD5
P49454	CENPF
Q9BU64	CENPO
Q8N8E3	CEP112
P0DN87	CGB7
Q96EP1	CHFR
P15391	CD19
P52757	CHN2
Q6IPU0	CENPP
Q8TDI0	CHD5
Q86Y33	CDC20B
Q5JQF7	LINC01556
O15335	CHAD
Q9UHN6	CEMIP2
Q9H305	CDIP1
O43745	CHP2
O00421	CCRL2
Q8NBR9	NDUFV1-DT
Q14008	CKAP5
Q2HXU8	CLEC12B
Q96LP6	C12orf42
Q5SWW7	C10orf55
Q5U649	C12orf60
Q9H2U6	LINC00597
Q5VYM1	C9orf131
Q9UFF9	CNOT8
P01024	C3
P51793	CLCN4
P53420	COL4A4
Q6ZV77	LINC02908
Q5T280	SPOUT1
Q12882	DPYD
Q9BT09	CNPY3
Q14194	CRMP1
Q9BU89	DOHH
Q86UW9	DTX2
Q96NU0	CNTNAP3B
O14531	DPYSL4
Q14055	COL9A2
Q9BPU6	DPYSL5
Q14117	DPYS
P05538	HLA-DQB2
Q02246	CNTN2
Q9UJ71	CD207
Q8TE96	DQX1
Q9Y2E6	DTX4
Q9C0A0	CNTNAP4
Q8WYK1	CNTNAP5
Q8N137	CNTROB
Q7Z7A1	CNTRL
P0CG22	DHRS4L1
Q8N608	DPP10
Q6PKH6	DHRS4L2
Q9UHL4	DPP7
P0CJ85	DUX4L2
Q9NY33	DPP3
P0CJ86	DUX4L3
P0CJ87	DUX4L4
P0CJ88	DUX4L5
P0CJ89	DUX4L6
P0CJ90	DUX4L7
P27487	DPP4
Q6ZU35	CRACD
A6NIL9	CRYM-AS1
Q9H0A8	COMMD4
P0DML2	CSH1
Q96EV8	DTNBP1
Q9NX08	COMMD8
Q8TEA8	DTD1
Q96FN9	DTD2
Q9NRD9	DUOX1
Q9NRD8	DUOX2
P43320	CRYBB2
Q9Y4K1	CRYBG1
Q6PH81	C16orf87
Q86WR6	C17orf64
Q8TEY5	CREB3L4
Q96PZ7	CSMD1
Q8NFW1	COL22A1
Q9HC73	CRLF2
P07316	CRYGB
Q86T23	CROCCP2
Q8TAV3	CYP2W1
P39059	COL15A1
P14406	COX7A2
P80162	CXCL6
Q9UIA0	CYTH4
O14578	CIT
O15194	CTDSPL
Q9P013	CWC15
Q8IZY2	ABCA7
P29372	MPG
Q8IUA7	ABCA9
O75027	ABCB7
Q5TYW2	ANKRD20A1
P02750	LRG1
Q709F0	ACAD11
Q12802	AKAP13
Q9GZZ6	CHRNA10
P55008	AIF1
Q96BJ3	AIDA
P24588	AKAP5
Q8IZF5	ADGRF3
Q8WV93	AFG1L
Q13444	ADAM15
Q6P6C2	ALKBH5
Q5I7T1	ALG10B
P68032	ACTC1
P12236	SLC25A6
Q8TED9	AFAP1L1
Q13015	MLLT11
Q8N283	ANKRD35
Q6UB98	ANKRD12
P29374	ARID4A
Q9UJX5	ANAPC4
Q14155	ARHGEF7
O75843	AP1G2
Q8NDY3	ADPRHL1
P29972	AQP1
Q13790	APOF
Q6Q4G3	LVRN
Q96BM1	ANKRD9
Q9Y2D1	ATF5
P09525	ANXA4
Q15327	ANKRD1
Q9Y284	WDR83OS
Q96CP6	GRAMD1A
Q9H1I8	ASCC2
Q9HD20	ATP13A1
Q96Q27	ASB2
Q9Y576	ASB1
Q9UN42	ATP1B4
Q96DT6	ATG4C
A6NM45	CLDN24
P20648	ATP4A
Q6ZMM2	ADAMTSL5
Q8NBF6	AVL9
P82987	ADAMTSL3
A6QL63	BTBD11
P43251	BTD
A0A1B0GUI7	BRD3OS
Q9NR55	BATF3
P16442	ABO
Q5VW32	BROX
Q5T5X7	BEND3
P55957	BID
Q9Y3E2	BOLA1
Q53S33	BOLA3
Q92843	BCL2L2
P08236	GUSB
Q9NYX4	CALY
Q96MW1	CCDC43
O15234	CASC3
P55212	CASP6
P42575	CASP2
P56539	CAV3
Q14511	NEDD9
Q96F63	CCDC97
P17655	CAPN2
Q9H4Z3	PCIF1
Q8WXQ8	CPA5
Q9P0X4	CACNA1I
O75309	CDH16
P02745	C1QA
Q9Y6H1	CHCHD2
Q8TD26	CHD6
O15182	CETN3
D6RIA3	C4orf54
Q711Q0	CEFIP
Q76N32	CEP68
Q5SZD1	C6orf141
Q9Y592	CEP83
B2RD01	CENPBD1P
O76039	CDKL5
Q8NET6	CHST13
P29973	CNGA1
Q8NA57	C12orf50
Q9UPN4	CEP131
A8MQB3	LINC02693
Q9UNS2	COPS3
Q13098	GPS1
P16220	CREB1
P04141	CSF2
Q96SQ9	CYP2S1
Q9P299	COPZ2
A8MYA2	CXorf49
A8MYA2	CXorf49B
Q69YQ0	SPECC1L
Q5M775	SPECC1
Q86UF2	CTAGE6
P12838	DEFA4
Q9NYF0	DACT1
Q8N687	DEFB125
Q6Y2X3	DNAJC14
P18858	LIG1
O94907	DKK1
Q9P1A6	DLGAP2
Q9NR61	DLL4
Q8WWZ4	ABCA10
Q09428	ABCC8
P20309	CHRM3
Q8WYK0	ACOT12
O00763	ACACB
Q9NPJ3	ACOT13
P16219	ACADS
Q15067	ACOX1
O15254	ACOX3
P0DMS8	ADORA3
Q15822	CHRNA2
Q969T7	NT5C3B
Q9NRW3	APOBEC3C
P11229	CHRM1
Q9GZX7	AICDA
Q8WXG9	ADGRV1
O43918	AIRE
Q9Y2J4	AMOTL2
Q16352	INA
Q96P47	AGAP3
Q9NPF8	ADAP2
P36404	ARL2
Q99873	PRMT1
Q969Q4	ARL11
Q9NR80	ARHGEF4
P17544	ATF7
Q99941	ATF6B
P17405	SMPD1
Q9HBZ2	ARNT2
Q9NVI7	ATAD3A
P32121	ARRB2
Q8NEN0	ARMC2
Q96EG1	ARSG
Q8N2F6	ARMC10
Q8IUR7	ARMC8
Q7L311	ARMCX2
O15145	ARPC3
Q9UH62	ARMCX3
O15144	ARPC2
Q8N2M8	CLASRP
Q8IUN9	CLEC10A
Q04656	ATP7A
P38398	BRCA1
Q58F21	BRDT
P25440	BRD2
Q8TAM1	BBS10
Q9UHR4	BAIAP2L1
Q9C0J9	BHLHE41
Q53HL2	CDCA8
Q14137	BOP1
Q9C0J1	B3GNT4
P51636	CAV2
Q5JPI3	C3orf38
Q8WV48	CCDC107
Q8N5S3	C2orf73
Q9UK00	C3orf18
P55211	CASP9
Q9BQI4	CCDC3
Q9HC96	CAPN10
P31415	CASQ1
Q96BQ5	CCDC127
O60729	CDC14B
Q8IYK2	CCDC105
Q9NS00	C1GALT1
Q8WWF1	C1orf54
Q96MH7	C5orf34
O14627	CDX4
O43866	CD5L
Q3KPI0	CEACAM21
Q9UQN3	CHMP2B
O75871	CEACAM4
Q12798	CETN1
O95684	CEP43
Q5TEZ5	C6orf163
P46092	CCR10
Q9BZW8	CD244
Q86U37	LINC01551
Q00534	CDK6
O75746	SLC25A12
Q96NY7	CLIC6
Q8IZ96	CMTM1
Q86X95	CIR1
Q969H4	CNKSR1
Q5T681	C10orf62
Q96JQ2	CLMN
Q9Y600	CSAD
Q8N7U9	LINC00469
Q96A23	CPNE4
Q9H8M1	COQ10B
Q9Y6Z7	COLEC10
Q96BA8	CREB3L1
Q0VDD5	MIR22HG
A8MU93	C17orf100
Q6Q6R5	CRIP3
P46108	CRK
Q8IUR6	CREBRF
Q9UFG5	C19orf25
P24468	NR2F2
Q969M2	GJA10
P04080	CSTB
P25100	ADRA1D
O95622	ADCY5
Q0P5N6	ARL16
Q9HCE9	ANO8
Q06481	APLP2
O95445	APOM
Q9BPW4	APOL4
Q07075	ENPEP
P08243	ASNS
Q9BQD7	ANTKMT
O43150	ASAP2
Q8N3C0	ASCC3
Q13733	ATP1A4
P98194	ATP2C1
Q9P2X8	LINC00474
P0C0L4	C4A
Q2TAZ0	ATG2A
Q9Y3D0	CIAO2B
Q9BPX5	ARPC5L
Q9UHP7	CLEC2D
Q8WTT0	CLEC4C
Q9NY30	BTG4
A6NE02	BTBD17
C9JJ37	BTBD19
P62324	BTG1
Q16520	BATF
Q93088	BHMT
O76090	BEST1
P78537	BLOC1S1
O75936	BBOX1
O14874	BCKDK
O14981	BTAF1
P12645	BMP3
Q96FH0	BORCS8
Q67FW5	B3GNTL1
Q12830	BPTF
O00626	CCL22
P56202	CTSW
Q8TDM0	BCAS4
Q5T5Y3	CAMSAP1
P49069	CAMLG
P07858	CTSB
Q03135	CAV1
P13236	CCL4
Q9H0W5	CCDC8
P09668	CTSH
Q9UMQ6	CAPN11
Q86X55	CARM1
Q9H211	CDT1
Q86XJ0	CALHM3
P07766	CD3E
P42081	CD86
O94986	CEP152
P21926	CD9
Q96G23	CERS2
A8MTB9	CEACAM18
P32929	CTH
Q7Z7K6	CENPV
Q9Y259	CHKB
A8K010	LINC00473
P29017	CD1C
Q5SQH8	C6orf136
P0C7X3	CCNYL3
Q6ZMG9	CERS6
O14647	CHD2
Q9Y5K6	CD2AP
Q92879	CELF1
P06493	CDK1
O95388	CCN4
Q86X02	CDR2L
Q99741	CDC6
P11802	CDK4
Q6P1J9	CDC73
O14967	CLGN
Q86WS4	C12orf40
Q16280	CNGA2
Q8N6V4	C10orf53
Q96S66	CLCC1
P78369	CLDN10
O00501	CLDN5
P08572	COL4A2
P51797	CLCN6
O94983	CAMTA2
A0A1B0GUV1	C17orf114
Q8WXD9	CASKIN1
Q9Y2V7	COG6
O75131	CPNE3
Q9Y534	CSDC2
Q9NZV1	CRIM1
Q16696	CYP2A13
P07333	CSF1R
Q96SM3	CPXM1
Q9Y678	COPG1
Q96LI9	CXorf58
P35212	GJA4
P35222	CTNNB1
P49682	CXCR3
Q86XQ3	CATSPER3
Q9H114	CSTL1
Q99418	CYTH2
Q5SY80	CATSPERE
Q9P2B4	CTTNBP2NL
O43310	CTIF
P58513	LINC00158
Q8NBI2	CYB561A3
Q53TN4	CYBRD1
O95786	DDX58
Q92771	DDX12P
Q9Y235	APOBEC2
Q9P1F3	ABRACL
Q99758	ABCA3
Q66LE6	PPP2R2D
Q96IU4	ABHD14B
Q12979	ABR
P28330	ACADL
P45844	ABCG1
O60516	EIF4EBP3
Q9UNQ0	ABCG2
Q15825	CHRNA6
P02760	AMBP
P49419	ALDH7A1
Q9UHK6	AMACR
Q9UL18	AGO1
Q8N7J2	AMER2
Q02040	AKAP17A
Q86TB3	ALPK2
Q9Y4W6	AFG3L2
P48960	ADGRE5
Q9BT30	ALKBH7
C9J202	ALG1L2
Q9UM73	ALK
O43506	ADAM20
Q9H6U8	ALG9
P22570	FDXR
A6NCL7	ANKRD33B
A6NKF2	ARID3C
Q9HCE6	ARHGEF10L
Q9UM13	ANAPC10
P27338	MAOB
Q6ZSZ5	ARHGEF18
O15085	ARHGEF11
Q9BQE5	APOL2
Q9BZ19	ANKRD60
P53677	AP3M2
Q8IXF9	AQP12A
Q9H0R1	AP5M1
P23109	AMPD1
Q8N6M6	AOPEP
Q15389	ANGPT1
O15123	ANGPT2
Q9NVT9	ARMC1
Q8WWH4	ASZ1
Q9H6L4	ARMC7
Q96NS5	ASB16
A0A1B0GUA6	CCDC195
Q8IVL8	CPO
Q9BXJ5	C1QTNF2
P11586	MTHFD1
Q9NZP8	C1RL
Q9H0H9	CYP4F30P
Q8N7E2	CBLL2
Q99653	CHP1
Q9P2M7	CGN
Q8NHZ8	CDC26
P56277	CMC4
Q6UXG3	CD300LG
O60543	CIDEA
Q8WTQ4	C16orf78
Q4G0I0	CCSMST1
Q8N8I6	LINC00482
A6NCJ1	C19orf71
P17927	CR1
Q6PCB8	EMB
O95639	CPSF4
Q8N766	EMC1
Q8N684	CPSF7
P50238	CRIP1
P0DMU7	CT45A6
Q4LDR2	CTXN3
A0A1B0GTU2	CTXND1
P49447	CYB561
Q8IWE4	DCUN1D3
Q96SD1	DCLRE1C
P08174	CD55
Q8TF09	DYNLRB2
Q8WW22	DNAJA4
P43003	SLC1A3
O75417	POLQ
Q8IZU8	DSEL
O43854	EDIL3
Q6UX65	DRAM2
Q96BJ8	ELMO3
Q8N0W7	FMR1NB
O75072	FKTN
P08620	FGF4
Q8NCQ5	FBXO15
Q92915	FGF14
A5D6W6	FITM1
Q96LA5	FCRL2
Q6V0I7	FAT4
Q92908	GATA6
Q14393	GAS6
Q8TAE8	GADD45GIP1
Q8IWF2	FOXRED2
Q7Z4J2	GLT6D1
Q9HCG7	GBA2
P35573	AGL
O14893	GEMIN2
P30047	GCHFR
Q6P461	ACSM6
Q96EY9	ADAT3
P0C7M7	ACSM4
Q8TDY3	ACTRT2
Q9Y3Q7	ADAM18
P08588	ADRB1
Q68CP9	ARID2
Q9BS18	ANAPC13
Q9NQW6	ANLN
Q5SW96	LDLRAP1
P35626	GRK3
P26436	ACRV1
Q13625	TP53BP2
Q9Y294	ASF1A
P05026	ATP1B1
Q5T6C5	ATXN7L2
P56880	CLDN20
Q5SQI0	ATAT1
Q8TBH0	ARRDC2
Q6PJG6	BRAT1
Q5XKL5	BTBD8
P51587	BRCA2
Q9UBW5	BIN2
Q9H0E9	BRD8
Q9UIF9	BAZ2A
O60885	BRD4
Q5PSV4	BRMS1L
Q5H9B9	BMP2KL
Q86UB2	BIVM
O15392	BIRC5
P46663	BDKRB1
Q8NDY6	BHLHE23
P18075	BMP7
Q9Y2C3	B3GALT5
Q9P281	BAHCC1
P08311	CTSG
Q96LS8	C2orf48
Q96M95	CCDC42
P35520	CBS
Q5T0U0	CCDC122
Q6F5E8	CARMIL2
Q8NCU1	CCDC197
Q96HB5	CCDC120
Q6ZP82	CCDC141
Q00975	CACNA1B
P09871	C1S
O75973	C1QL1
Q9P296	C5AR2
P28907	CD38
P06276	BCHE
Q9BWS9	CHID1
Q8N884	CGAS
Q9HD87	C6orf50
Q8IY42	C4orf19
Q9HC77	CENPJ
P11597	CETP
P0C854	CECR9
P32320	CDA
P51686	CCR9
Q7L1S5	CHST9
Q00526	CDK3
Q7Z7L8	C11orf96
P62633	CNBP
Q8IVW4	CDKL3
Q99966	CITED1
Q6ZRI6	C15orf39
Q8N1V8	LINC01561
Q7Z7G1	CLNK
Q8IUQ0	CLVS1
Q8TAL5	C9orf43
P56747	CLDN6
Q9Y375	NDUFAF1
P21918	DRD5
P56748	CLDN8
P01031	C5
Q86Y01	DTX1
Q14050	COL9A3
P53672	CRYBA2
P05813	CRYBA1
Q9H3Y0	R3HDML
P53674	CRYBB1
Q8N1P7	CRYBG2
Q9H693	C16orf95
Q9UBL6	CPNE7
Q96KH6	C18orf12
Q9Y5P2	CSAG2
Q9Y5P2	CSAG3
Q8TBR5	CIRBP-AS1
Q14CZ0	C16orf72
Q9Y6N1	COX11
Q9ULV4	CORO1C
Q96KJ9	COX4I2
Q99807	COQ7
Q8WXU2	DNAAF4
Q9BYW3	DEFB126
Q8TDM6	DLG5
Q13574	DGKZ
Q13838	DDX39B
Q15329	E2F5
Q7Z7J5	DPPA2
Q86XH1	IQCA1
Q6ZR08	DNAH12
Q53HC9	EIPR1
B5ME19	EIF3CL
Q14241	ELOA
A1L3X0	ELOVL7
Q9UI10	EIF2B4
A8MTA8	FAM166B
Q9BPY3	FAM118B
Q9Y3B2	EXOSC1
P0C866	LINC00869
Q86YD7	FAM90A1
Q01844	EWSR1
Q8WVX9	FAR1
Q8IYD1	GSPT2
A0A1W2PQ73	ERFL
Q96BH3	ELSPBP1
O95718	ESRRB
Q5T890	ERCC6L2
Q00688	FKBP3
Q92636	NSMAF
Q13283	G3BP1
P41250	GARS1
O95866	MPIG6B
A8MWK0	FADS2B
Q92847	GHSR
I3L273	GFY
P08151	GLI1
Q9NX38	ABITRAM
P30153	PPP2R1A
Q9NP58	ABCB6
Q9NYB9	ABI2
O60706	ABCC9
P33897	ABCD1
P21399	ACO1
Q13131	PRKAA1
Q9HAR2	ADGRL3
Q8TDG2	ACTRT1
Q8N6D5	ANKRD29
P20594	NPR2
Q9NVJ2	ARL8B
Q9NWB6	ARGLU1
Q9NR22	PRMT8
Q66PJ3	ARL6IP4
Q5VV41	ARHGEF16
P11245	NAT2
O60312	ATP10A
Q96DX5	ASB9
Q6PL45	BRICD5
O43684	BUB3
Q8NDZ0	BEND2
Q6RI45	BRWD3
Q3B7T3	BEAN1
Q9UPM9	B9D1
Q7L3V2	RTL10
Q9HB09	BCL2L12
Q14032	BAAT
Q9NWV8	BABAM1
Q13938	CAPS
Q502W7	CCDC38
Q8N813	C3orf56
P14091	CTSE
P0DPF6	CDRT15P3
Q9H2F9	CCDC68
Q8NAP1	CASTOR3
Q5T0J3	C1orf220
Q9BTV7	CABLES2
P27482	CALML3
Q96LY2	CCDC74B
Q9UPW5	AGTPBP1
Q8NEM8	AGBL3
Q8NCU7	C2CD4A
Q86YS7	C2CD5
Q8N1D5	C1orf158
Q8NDD1	C1orf131
P09326	CD48
P16671	CD36
P19022	CDH2
O60308	CEP104
Q99675	CGRRF1
Q8TBY9	CFAP251
Q5T5M9	CCNJ
Q86XR8	CEP57
Q4KMG0	CDON
P32246	CCR1
O00311	CDC7
P30260	CDC27
Q16281	CNGA3
P0C7P0	CISD3
Q8WXI2	CNKSR2
Q8TAV5	C11orf45
O75339	CILP
P51790	CLCN3
Q5K130	CLLU1-AS1
Q8NE01	CNNM3
Q5BN46	C9orf116
B1AMM8	LINC00587
Q5KU26	COLEC12
Q68DL7	C18orf63
Q2M2W7	C17orf58
Q6XLA1	CASC2
Q02930	CREB5
Q8NE35	CPEB3
Q8IUI8	CRLF3
Q9HB55	CYP3A43
P10589	NR2F1
Q8TB03	CXorf38
Q15438	CYTH1
Q8WYQ4	C22orf15
Q8NBC4	C20orf203
A4FU28	CTAGE9
P0C5K7	CT62
Q9NX09	DDIT4
Q8N568	DCLK2
Q16832	DDR2
Q13206	DDX10
Q9NUU7	DDX19A
Q96B18	DACT3
P78524	DENND2B
Q8IWF6	DENND6A
Q8NG35	DEFB105A
Q8NG35	DEFB105B
P15924	DSP
Q8NFW5	DMBX1
Q8N4W6	DNAJC22
Q9UKB3	DNAJC12
Q86XP1	DGKH
Q9UJW3	DNMT3L
O00273	DFFA
Q9BUN8	DERL1
Q9H7Y0	DIPK2B
O60884	DNAJA2
Q9BY08	EBPL
Q5JR98	DYNLT4
Q9H410	DSN1
Q8TEW6	DOK4
P16444	DPEP1
Q8NEU8	APPL2
Q96RT7	TUBGCP6
Q9UHF1	EGFL7
A4GXA9	EME2
Q0D2K5	EGFEM1P
O75822	EIF3J
Q9BXX0	EMILIN2
Q5JVL4	EFHC1
Q5THR3	EFCAB6
P28324	ELK4
P0DMC3	APELA
Q9HAE3	EFCAB1
P0DSO1	FAM246C
Q4V326	GAGE2E
Q9UFP1	GASK1A
Q8NCL4	GALNT6
Q5T8D3	ACBD5
Q9NPB9	ACKR4
Q13639	HTR4
P17787	CHRNB2
Q9H0P0	NT5C3A
Q9Y243	AKT3
P00352	ALDH1A1
O14862	AIM2
Q96Q42	ALS2
P50052	AGTR2
Q8TD30	GPT2
Q86WK6	AMIGO1
Q8IVF2	AHNAK2
O94910	ADGRL1
P40145	ADCY8
O00468	AGRN
P10109	FDX1
O43184	ADAM12
P68133	ACTA1
Q7Z4H4	ADM2
Q9NX46	ADPRS
Q9NYG5	ANAPC11
O43423	ANP32C
Q86W74	ANKRD46
Q96BI3	APH1A
P61966	AP1S1
Q10567	AP1B1
O95352	ATG7
P61160	ACTR2
Q8TDY4	ASAP3
Q13510	ASAH1
P48751	SLC4A3
P22003	BMP5
A2IDD5	CCDC78
Q76M96	CCDC80
Q6ZNE5	ATG14
Q16204	CCDC6
A4D256	CDC14C
O00257	CBX4
Q14781	CBX2
Q494R4	CCDC153
Q9Y2G2	CARD8
Q6ZN84	CCDC81
Q9NZT1	CALML5
Q02641	CACNB1
Q13112	CHAF1B
Q9BY67	CADM1
Q5T440	IBA57
Q96KT6	LINC00208
P47902	CDX1
Q8TEP8	CEP192
P09564	CD7
P40259	CD79B
Q5T2Q4	CCNYL2
Q96M91	CFAP53
Q96G28	CFAP36
Q03701	CEBPZ
P29016	CD1B
Q9BUX1	CHAC1
O14757	CHEK1
P38936	CDKN1A
Q9NRG0	CHRAC1
A6H8M9	CDHR4
Q6X4T0	C12orf54
Q15003	NCAPH
Q8TDQ1	CD300LF
Q9UGN4	CD300A
Q9UHD4	CIDEB
Q8IZS7	CLECL1
O95832	CLDN1
O94777	DPM2
A6NGG3	C9orf92
P56750	CLDN17
A8MQ03	CYSRT1
J3KSC0	LINC01387
P50416	CPT1A
O75208	COQ9
P10606	COX5B
P53618	COPB1
Q9UNU6	CYP8B1
Q9H9Q2	COPS7B
P22680	CYP7A1
Q8WY07	SLC7A3
A6NIU2	LINC01549
P35221	CTNNA1
Q5TDH0	DDI2
Q9Y6V7	DDX49
Q8TF63	DCANP1
Q9UHG0	DCDC2
Q9NR28	DIABLO
P51397	DAP
Q5VWQ8	DAB2IP
O14576	DYNC1I1
Q5SW24	DACT2
Q8NES8	DEFB124
Q7L5Y6	DET1
Q5VTH9	DNAI4
Q9Y4B6	DCAF1
Q6TDU7	DNAI7
P80365	HSD11B2
Q13217	DNAJC3
O43143	DHX15
Q9BPX1	HSD17B14
P56937	HSD17B7
Q9H6R0	DHX33
Q15398	DLGAP5
O60610	DIAPH1
P55084	HADHB
Q86YB7	ECHDC2
O14641	DVL2
Q6PGQ1	DRICH1
P30046	DDT
Q14183	DOC2A
Q5T8R8	DOCK8-AS1
Q96JJ3	ELMO2
Q8N8S7	ENAH
O75356	ENTPD5
P0DO92	CDIPTOSP
P41162	ETV3
P07148	FABP1
Q8TC56	FAM71B
Q969Z0	TBRG4
Q96AQ9	FAM131C
Q5T036	FAM120AOS
Q13451	FKBP5
Q96PY5	FMNL2
Q8NFG4	FLCN
Q5TGI0	FAXC
O14561	NDUFAB1
O95477	ABCA1
Q16537	PPP2R5E
Q9BUJ0	ABHD14A
Q8N2K0	ABHD12
P08195	SLC3A2
P45954	ACADSB
Q9BQI0	AIF1L
Q86WK7	AMIGO3
P30837	ALDH1B1
Q5TGY3	AHDC1
Q9HCK5	AGO4
P35609	ACTN2
Q9P0K1	ADAM22
Q08AH1	ACSM1
P35348	ADRA1A
P53365	ARFIP2
Q9UJX4	ANAPC5
P78540	ARG2
O95626	ANP32D
